work_id;title;author;rating;category;fandom;relationship;character;additional tags;language;published;status;status date;words;chapters;comments;kudos;bookmarks;hits;all_kudos;all_bookmarks
56347633;A Visit from the Underworld;['Loveisourdestiny17'];General Audiences;;Ancient Greek Religion & Lore, House of the Dragon (TV);Daemon Targaryen/Rhaenyra Targaryen;Melinoe (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore), Laena Velaryon (Daughter of Corlys), Rhaenyra Targaryen, Daemon Targaryen, Aemma Arryn, Alicent Hightower, Aemond "One-Eye" Targaryen, Aegon II Targaryen, Helaena Targaryen, Viserys I Targaryen, Lucerys Velaryon (Son of Rhaenyra), Hera (Ancient Greek Religion & Lore);No Dance of the Dragons | War For Succession Between Aegon II and Rhaenyra Targaryen Never Happens, literally just started typing and this came out, Adoption, no beta we die like alicent, I feel bad for the children, Alternate Universe - Gods & Goddesses;English;02/06/24;Completed;02/06/24;3488;1/1;6;54;9;929;['clintasha_forever', 'Emajn3dsma', 'avvirioss', 'arxellll', 'Z3_n0', 'coliegirl', 'RZHB', 'LMlunnaris', 'gringa21', 'LightOrDark', 'MariWollsch', 'Vick1511', 'Sheila_br_24', 'Nixsis11', 'Lila_Vitoria', '1975Jeovanna1021', 'jmarrero16', 'Cacau_Sasusaku', 'SabrinaRodrigues', 'Jeweled_Lotus', 'Priestess_Of_The_Living_Dead', 'Brisadaiana06', 'khalee_sica', 'monseh28', 'sakuhyuuga', 'Myaa_x1', 'oMega1361', 'Blood_Nymth', 'Nillyb18', 'Ratkidg', 'AssassinAngel92', 'AliVers0', 'Aphroditedany', 'Paradoxicall374', 'Gaayu', 'Melody398', 'KuranDarkwood', 'Cece_Summer', 'Daemrya15', 'Lizairy'];[]
17464;Requiem;['mistykasumi (oultrepreu)'];Mature;M/M;Greek and Roman Mythology;Hector/Paris;;Challenge Response, 1000-3000 words;English;24/02/04;Completed;24/02/04;1122;1/1;;37;6;922;['cabanels', 'Akane312', 'flypariah95', 'Antysage', 'zerefdr3', 'MiranysRosier5460', 'Bucket8058', 'Loreene', 'sarsal', 'Ying_Yang', 'Chayisrat', 'hefaus', 'Kaerling', 'Cats_lady', 'rotisalieri', 'thesnarkknight', 'stage_master'];[]
17701;what we can never say;['mistykasumi (oultrepreu)'];Mature;M/M;Greek and Roman Mythology, The Iliad - Homer;Achilles/Patroclus;Achilles (Greek and Roman Mythology), Patroclus (Greek and Roman Mythology), Achilles (Homer), Patroklos (Homer);Yuletide, 5000-10000 Words;English;21/12/05;Completed;21/12/05;5730;1/1;12;159;44;3200;['nxstbl', 'armysolace7', 'Iczzygurrl', 'Helecthra', 'akoostiks', 'Starlight24', 'rpod', 'den_svarta_vargen', 'Ying_Yang', 'sleepingtart', 'dumbplin', 'BruhWeTalkedAbtThis', 'azurepython', 'cosmica11y', 'fandomgymnast', 'Death_Life', 'shouigunjin', 'bosbie', 'artifice', 'DillVonBergamot', 'missmarthanightingale', 'song_of_chaos', 'Reggie_Bear', 'Annkadey', 'thesnarkknight', 'Sahliky', 'Leniati', 'SweetPinkCupcake28', 'MarkleIsBest', 'inarmitage', 'Guacharo', 'Iamhungry11', 'Lelena27', 'thedragonsarecats', 'RichPauper', 'patriawrites', 'mi_ao', 'KRUZSHTERN', 'mapped', 'joodlim', 'Dragon_in_a_Sheeps_Skin', 'wayward_philosopher', 'myrrhs', 'notalarissa', 'Alpaca_Queen', 'greeneyedlover13', 'modernKhione', 'tarp_walls', 'WinterSky101', 'Sith_happens'];[]
41491;Intended;['orphan_account'];Teen And Up Audiences;F/M;Greek and Roman Mythology;Achilles/Penthesilea;Achilles, Penthesilea;;English;30/12/09;Completed;30/12/09;1574;1/1;;35;6;735;['edge3322', 'yoodeloo', 'fifizainal', 'onceandnever', 'starryheaven', 'MarumeChiisa', 'LIanMu', 'rotisalieri', 'thesnarkknight', 'chihiro', 'dumplingcat', 'anniethepooh', 'k_drake', 'Dayadhvam', 'scarlett_the_seachild'];[]
78338;Meleager;['orbitaldiamonds'];Teen And Up Audiences;F/M;Greek Mythology;Meleager/Atalanta;Meleager, Atalanta, Althea;Mythology - Freeform;English;07/04/10;Completed;07/04/10;1115;1/1;;5;;350;['thesnarkknight'];[]
109012;The Face That--;['nonisland'];General Audiences;Gen;The Iliad - Homer, Ancient Greek Religion & Lore;Helen of Troy/Paris (Ancient Greek Religion & Lore), Hector/Helen of Troy (Ancient Greek Religion & Lore);Helen of Troy (Ancient Greek Religion & Lore), Hector (Ancient Greek Religion & Lore), Aphrodite (Ancient Greek Religion & Lore), Paris (Ancient Greek Religion & Lore), Andromache (Ancient Greek Religion & Lore), Menelaus (Ancient Greek Religion & Lore);Character Study, Unrequited Love, Christopher Marlowe References;English;23/08/10;Completed;23/08/10;682;1/1;6;77;13;1463;['ladyofhera', 'plasticshrimp', 'intezaari', 'ordinarylittleme', 'Kaister', 'Linthaea', 'caveglow', 'delectxre', 'ChaoticHurricane', 'magic101', 'Lysandra_of_Caraverre', 'Spicy_mcnugget', 'Christa418', 'theBookish', 'chiaravargas93', 'ganglari', 'addictedreader94', 'Masked_Man_2', 'stardust_and_sunlight', 'RogueArabesque', 'rotisalieri', 'xxStarryEyedDreamerxx', 'thesnarkknight', 'tumbling_into_chaos', 'SylvannasBurnas', 'Sleepislife', 'Mofluz', 'gretchen_zeller_barnes', 'loyaulte_me_lie', 'masamune11', 'in_my_delusions', 'ellipsis_for_all', 'DatAsymptote', 'Reyavie', 'a_t_rain', 'jm_serendipitous', 'earlgrey6tea', 'truthisfreedom', 'BlackMoonlight', 'goldfinchex', 'mayormadeleinerobin', 'ArgylePirateWD'];[]
125672;Oneiron prosphereis morphomasin (Appearing Like Images of Dreams);['Quinara'];Teen And Up Audiences;Gen;Agamemnon - Aeschylus, Greek and Roman Mythology;;Clytaemnestra, Helen, Cassandra;Bechdel Test Ficathon, commentfic, Promptfic;English;10/10/10;Completed;10/10/10;520;1/1;3;18;3;522;['ordinarylittleme', 'Yinzadi', 'thesnarkknight', 'unorgaynized', 'roads_that_taste_like_wintergreen', 'meinongian', 'Lady_Porcupine', 'Hokuto'];[]
49859260;Iphigenia's Love Song;['Gheyn'];Teen And Up Audiences;Gen;Ancient Greek Religion & Lore;;Iphigenia (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Clotho (Ancient Greek Religion & Lore), Lachesis (Ancient Greek Religion & Lore), Atropos | Aisa (Ancient Greek Religion & Lore);Legend: Sacrifice of Iphigenia at Aulis (Ancient Greek Religion & Lore);English;06/09/23;Completed;06/09/23;1111;1/1;9;17;1;106;['cherrylemonadeandtacos', 'LawIess', 'thishazeleyeddemon', 'Breakfast_Tacos', 'evostevo1224', 'HnDThoreau', 'badassbutterfly1987', 'VThinksOn', 'DelicatelyDead', 'Soryenn', 'vanishresponse', 'sai_la_min', 'earthdeirdre', 'just_a_wavefunction'];[]
40607286;A Heavy Responsibility;['CosmQrchaic'];Teen And Up Audiences;Gen;Ancient Greek Religion & Lore;Eurysaces & Teucer son of Telamon (Ancient Greek Religion & Lore);Teucer son of Telamon (Ancient Greek Religion & Lore), Eurysaces (Ancient Greek Religion & Lore);Trojan War, Implied/Referenced Character Death, Uncle-Nephew Relationship;English;27/07/22;Completed;27/07/22;1085;1/1;;5;;74;['Kiwii_Sprouts', 'AdrianRight', 'qwertynumbersix'];[]
40214382;The gods know revenge;['Chischiya'];General Audiences;F/M;Ancient Greek Religion & Lore, The Iliad - Homer;Oenone/Paris (Ancient Greek Religion & Lore), Helen of Troy/Paris (Ancient Greek Religion & Lore);Oenone (Ancient Greek Religion & Lore), Paris of Troy;;English;10/07/22;Completed;10/07/22;590;1/1;1;4;;94;['Foc123', 'SuperBatCamz', 'ordinarylittleme', 'ladysapphinope'];[]
40140507;Cthonic Youth;['moon_custafer'];Teen And Up Audiences;M/M;Greek Mythology;Apollo/Hyacinthus;Hyacinthus (Ancient Greek Religion & Lore), Apollo (Ancient Greek Religion & Lore);verse drama;English;07/07/22;Completed;07/07/22;1677;1/1;2;18;2;502;['DaughterOfTama', 'Black_knight100', 'almond_tea', 'BakingCereal', 'CreastyMochi2000', 'Hana_H', 'GotStabbedByAPen', 'IntuitiveCancer', 'crazygoodshot', 'MMaglor'];[]
39722094;Poplar Tree;['ratbird0917'];General Audiences;F/M;Ancient Greek Religion & Lore;Hades/Leuce (Ancient Greek Religion & Lore), Hades/Persephone (Ancient Greek Religion & Lore);Leuce (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore);Mentioned Thanatos (Hades Video Game), Love, Reminiscing, First Love, Grief/Mourning, Character Death, Canonical Character Death, Mortality, Immortality, Poetic, Soft Hades (Ancient Greek Religion & Lore);English;18/06/22;Completed;18/06/22;865;1/1;5;13;3;172;['Adam29', 'Wertyuiopasdfghjklzxcvbnm', 'Blossoms_You_Grow', 'Araceli_Casanova', 'TooManyFleshSuppers', 'Neleya15', 'Hewwo3', 'zambazeus', 'sparklight'];[]
38886291;I have died everyday waiting for you;['semper_sursum'];General Audiences;M/M;The Song of Achilles - Madeline Miller, Ancient Greek Religion & Lore;Achilles/Patroclus (Song of Achilles);Achilles (Song of Achilles), Patroclus (Song of Achilles), Thetis (Song of Achilles);Angst with a Happy Ending;English;09/05/22;Completed;09/05/22;2503;1/1;5;55;6;789;['DaughterOfTama', 'Abelamara', 'ManonBlackbeak', 'olympianbeagles', 'PentiumInside', 'hiyoriasyr', 'Lila_92', 'Cosmic_lemona', 'wtf_do_i_exist', 'Starlight24', 'peerless_cucumber69', 'Adha_black', 'BirdWithAPen', 'Ynat', 'Your_Mom_6920', 'arxticpolar', 'Lils1608', 'Liza09', 'LiberoQuorion', 'Queen_of_the_Idiots', 'Totallynotawitch', 'JustAnAverageCatgirl', 'sugar_nugget', 'LacyPinkRoses', 'Americanunicorn', 'TheModernTypewriter', 'marymooLest', 'ane_reader', 'Astrid_H', 'An_gst', 'Antinomies_0416', 'Thatautisticlesbian', 'Luckyladypoetry', '243', 'madu30', 'sleepingtart', 'FabellNicky'];[]
56246299;Misuse, Oh;['catchmeifyoucreon'];Explicit;F/F;Oedipus Cycle - Sophocles, Ancient Greek Religion & Lore;Antigone/Ismene (Ancient Greek Religion & Lore);Antigone (Ancient Greek Religion & Lore), Ismene daughter of Oedipus (Ancient Greek Religion & Lore);Necrophilia, Incest, Sister/Sister Incest, Vaginal Fingering, Grief/Mourning, Dead Dove: Do Not Eat;English;30/05/24;Completed;30/05/24;1117;1/1;2;16;;185;['angelteethcrybaby097', 'meikuree', 'helloilovefanfiction', 'ordinarylittleme', 'VThinksOn', 'changjiuqing', 'Le_idiot', 'katzenfabrik', 'darkrosaleen', 'Lucious', 'Setenaya', 'handschuhmaus', 'rotfraud'];[]
49531849;Loved by the Sun;['AGranville (FlagBridge)', 'FlagBridge'];Mature;F/M;The Iliad - Homer, Troades | The Trojan Women - Euripides, Ancient Greek Religion & Lore, Mythology;Agamemnon/Cassandra (Ancient Greek Religion & Lore);Agamemnon (Ancient Greek Religion & Lore), Cassandra (Ancient Greek Religion & Lore), Clytemnestra (Ancient Greek Religion & Lore);Trojan War, Rape/Non-con Elements, War;English;22/08/23;Completed;22/08/23;1686;1/1;;17;2;455;['Kimchi_Sauce', 'CanadianDarkFox', 'Lemiqu___05', 'Melbourne_002', 'prettygirllovespinkandthetrojancycle', 'Zimra', 'ladysapphinope', 'ggbcal', 'Diaktoros', 'ArtemisTheHuntress', 'articoka321', 'FireAlder2005', 'Jiggyjiggy63', 'Laurelio'];[]
48848398;They Call Her Cassandra;['Millennium_Girl'];Mature;Gen;Evillious Chronicles, Ancient Greek Religion & Lore;;Riliane Lucifen d'Autriche, Cassandra (Ancient Greek Religion & Lore);Alternate Universe - Reincarnation, Prophecy, Suicide, Implied/Referenced Rape/Non-con, Memories, Drabble, Angst and Tragedy;English;25/07/23;Completed;25/07/23;679;1/1;2;11;2;124;['GenesisGirlGretel', 'melodybeat4', 'hollowlaughs', 'samathefriendlyfairy', 'Giyahvn', 'Zesty_assLemonade', 'MikusNegi'];[]
47791900;By Night Unraveled;['ancslove'];Explicit;F/M;Ancient Greek Religion & Lore, The Odyssey - Homer;Suitors/Penelope, Odysseus/Penelope (Ancient Greek Religion & Lore);Eurynomus son of Aegyptius, Antinous son of Eupeithes (Ancient Greek Religion & Lore), Eurymachus of Ithaca (Ancient Greek Religion & Lore), Penelope (Ancient Greek Religion & Lore), Odysseus (Ancient Greek Religion & Lore), Melantho (Ancient Greek Religion & Lore);Alternate Universe - Canon Divergence, Gang Rape, Defiant Prisoner, Rescue and Revenge, POV Outsider, Non-Consensual Bondage, Bruises, Non-Consensual Love Bites, Period-Typical Sexism, Non-Consensual Groping;English;02/07/23;Completed;02/07/23;2954;1/1;6;76;7;2115;['gluttonies', 'Rickyiscool', 'ThatPyro', 'FarTooManyFandoms', 'ajasminetea', '9_ball_in', 'ekinereb', 'Juan_Pujol_Garcia', 'tschulijulesjulie', 'Rosekitty', 'plaggreincarnation', 'Simugeuge', 'EternalFlame4103', 'SolariEXE', 'elphabun', 'ciel_blue', 'AlexSeanchai', 'danteriordan', 'clitemnestralove', 'Laci_Reacher', 'ggbcal', 'SugarQueenLD', 'bookrabbit', 'AceyGirly', 'littlegildedrose', 'Sirena2fire', 'baby_gronckle', 'Sue_Clover', 'dinoteeth', 'CampionSayn', 'Grass_ot21_love', 'BlackCat_666', 'PennyBloodWriter', 'bookcrazyquotegirl', 'randomcorvid', 'theashwolf', 'Emily_Elizabeth_Rose', 'RationalElderberry', 'vindoletta', '04Sunlight04', 'mekat', 'cupcake_eating_pigeon', 'RobberBaroness', 'Nibelung', 'Dedektif', 'Bastet_Fanwork', 'spicymouse', 'the_marbleowl', 'GrammarGrrrl', 'firecat'];[]
47136421;Cassandra on the Beach;['Killmiinow'];Mature;;Ancient Greek Religion & Lore, The Iliad - Homer, The Odyssey - Homer, Women of Troy (2020);;Cassandra (Ancient Greek Religion & Lore);Other characters mentioned - Freeform, its Greek mythology ofc there's violence, Monologue, The Women of Troy;English;13/05/23;Completed;13/05/23;1175;1/1;1;7;1;191;['Puhlica', 'Jam_croissant', 'samathefriendlyfairy', 'HnDThoreau', 'StilettoRen'];[]
45899866;Hermes;['MayaMarkova'];General Audiences;F/M, Gen;Ancient Greek Religion & Lore;Caucasian Eagle & Prometheus (Ancient Greek Religion & Lore), Prometheus & Zeus (Ancient Greek Religion & Lore), Hesione | Pronoia/Prometheus (Ancient Greek Religion & Lore), Prometheus & Hermes (Ancient Greek Religion & Lore), Prometheus & Heracles (Ancient Greek Religion & Lore);Prometheus (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore), Zeus (Ancient Greek Religion & Lore), Themis (Ancient Greek Religion & Lore), Arke (Ancient Greek Religion & Lore), Hercules | Heracles (Ancient Greek Religion & Lore);flood - Freeform;English;20/03/23;Completed;20/03/23;7296;1/1;4;7;1;287;['DaughterOfTama', 'Sadly_sleepy', 'lizardrr', 'JenniferWilson'];[]
45282052;i'll chew you up and i'll spit you out;['This_world_of_beautiful_monsters'];Explicit;F/F;Ancient Greek Religion & Lore, Medea - Euripides;Glauce | Creusa/Medea (Ancient Greek Religion & Lore), Glauce | Creusa/Creon (Ancient Greek Religion & Lore);Glauce | Creusa (Ancient Greek Religion & Lore), Creon (Ancient Greek Religion & Lore), Medea (Ancient Greek Religion & Lore);Plot What Plot/Porn Without Plot, Dead Dove: Do Not Eat, I'm Sorry, I just needed to get this filth out of my head, Irredeemable, Alternate Universe - Canon Divergence, Alternate Universe, Incest, Rape/Non-con Elements, Mindfuck, Mind Break, Telepathic Sex, Magic, Sex Magic, Long-Distance Sex, Multiple Orgasms, Overstimulation, Vaginal Fingering, Vaginal Sex, Oral Sex, Cunnilingus, Anal Fisting, Vaginal Fisting, Anal, Vaginal, Penis In Vagina Sex, Riding, fucked to death, Heart Attacks, word vomit, Femslash, Femslash Fuckery, Femslash Fuckery 2023, Canonical Character Death, Father/Daughter Incest, Parent/Child Incest, Forced Incest, Forced Orgasm, I'm Going to Hell, Clothing, Clothing Sex, POV Female Character;English;23/02/23;Completed;23/02/23;1789;1/1;2;41;6;2258;['apotelesmas', 'JadaRyl', 'LeyDebug', 'woundilingus', 'Opalizemecaptain', 'Siar', 'smirkythread', 'Holliday_inn', 'Nemocyte', 'Chandra_Wayfarer', 'catchmeifyoucreon', 'SerRyel', 'mrs_twinklesparkle', 'Rilo', 'badassbutterfly1987', 'understreck', 'm16tapa', 'H146', 'Katstories', 'absenthium', 'ehs06702'];[]
30281253;Cast Down but Not Destroyed;['BeautifulLife'];Teen And Up Audiences;F/M;Ancient Greek Religion & Lore;Hades/Minthe (Ancient Greek Religion & Lore);Minthe (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore);American History, two black cadillacs, Widowed, Politics, Harlan County;English;26/03/21;Completed;26/03/21;746;1/1;;45;1;101;['lilytiger98', 'Zimra', 'therunningwave', 'starryheaven'];[]
37903318;Eurydice;['Proudtobeinvisible'];Explicit;F/F;Ancient Greek Religion & Lore, Original Work;Eurydice wife of Orpheus/Orpheus (Ancient Greek Religion & Lore), Hades/Persephone (Ancient Greek Religion & Lore), Eurydice/Original Female Character;Eurydice wife of Orpheus (Ancient Greek Religion & Lore), Orpheus (Ancient Greek Religion & Lore), Persephone (Ancient Greek Religion & Lore), Hades (Ancient Greek Religion & Lore), Nymph | Nymphs (Ancient Greek Religion & Lore), Hermes (Ancient Greek Religion & Lore);Orpheus is insane, Inspired by Orpheus and Eurydice (Ancient Greek Religion & Lore), Eurydice is Better than Orpheus, Past Rape/Non-con, Character Study, Original Character(s), Eurydice is desperate, Persephone the Ice Queen;English;22/03/22;Completed;22/03/22;1148;1/1;4;27;6;362;['hrmml', 'Laci_Reacher', '8tdogslost9tcatsinthe3tforrests', '1gaycat', 'Killmiinow', 'starlily11', 'Cianne7', 'Netherzon', 'DaGhostDragon', 'ggbcal', 'TaliSands', 'Yin_StarEclipse'];[]
