work_id;Summary;Error Type;Error Scope;Comment;Mode of Demise;Mode of Demise_P;Mode of Demise_TP;Mode of Demise_FP;Mode of Demise_FN;Mode of Demise_TN;Victim;Victim_P;Victim_TP;Victim_FP;Victim_FN;Victim_TN;Perpetrator;Perpetrator_P;Perpetrator_TP;Perpetrator_FP;Perpetrator_FN;Perpetrator_TN;Classification;Reason;Presentation mode;Narrator POV;(Major) Character Death Evidence;words
41491;Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;stabbing;;;;;;Penthesilea;;;;;;Achilles;;;;;;;;narrator;third;"""He did not even hate for dying when she finally did, sword knocked out of her hand, his blade sliced clean through her heart.""";1574
41491;Achilles killed Penthesilea, the queen of the Amazons, in battle, striking her down with his blade after she had fought valiantly. Prior to this, the two had a romantic encounter three years ago, where they discussed the curse of the House of Atreus and how it could be broken. After killing Penthesilea, Achilles closed her eyes and kissed her forehead, acknowledging that he carries his own death with him, referencing the fact that he was destined to die from an arrow wound to his heel.;;;;being shot;;;;;;Achilles;;;;;;unspecified;;;;;;;;narrator;third;"""What can you say about a twenty-one year old boy who died? Pluto never had the chance to summon him. He was actually twenty-eight when it happened, the arrow flying into his heel almost an accident, if anything the stars have orchestrated for eternities can be an accident. What can you say about Achilles dying?""";1574
78338;In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;;;;;;;;;;unnamed redshirts;;;;;;Diana Artémiso;;;;;;;;narrator;third;"""The BOAR virus detected these prodigies and lashed out, rending,  maiming, and tearing the VR bodies and destroying the neural nets of one  after another of Unnamed Redshirts. None of them were of noble parentage, so it wasn't any great loss.""";1115
78338;In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;;;;vaporising;;;;;;Plexippus and Toxeus;;;;;;Meleager;;;;;;;;narrator;third;"""Once they'd all logged out, Plexippus and Toxeus, two of Meleager's uncles who'd been in the hunting party, were jealous that Atalanta had gotten all the honor and fame out of all who had been there."" [...] ""Meleager didn't see it that way. They'd taken from a heroine, and what's more, they'd taken from the woman he loved. He drew his hand phaser and vaporized them on the spot.""";1115
78338;In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;;;;software malfunction;;;;;;Meleager;;;;;;Althea;;;;;;;;direct thought;third;"""It's only fair, she decided. Why should OEneus celebrate while I am in mourning? An eye for an eye, I say! Well, I brought you into this world, Mellie, and watch me take you out! She finished the download. The :::ding::: of completion seemed to be a deathly groan. It was the groan of her son, dying""";1115
78338;In 2071 A.C.E., Althea Calydon's son Meleager was created through genetic engineering, but his life was threatened by a computer virus sent by Diana Artemiso, leader of the Colombian Mafia, to destroy Calydon Enterprises' systems. To combat the virus, Meleager assembled a team of skilled hackers, including Atlanta Windows-Microsoft, and together they successfully defeated the virus in a virtual reality battle. However, Meleager's uncles Plexippus and Toxeus stole the remains of the virus, leading Meleager to kill them. Althea, seeking revenge for her brothers' deaths, ultimately decided to fulfill the prophecy that would lead to Meleager's death by downloading a program that would end his life.;;;;suicide;;;;;;Althea;;;;;;---;;;;;;;;indirect thought;third;"""Weeks later, Althea recovered from her grief and hysteria and realized what she had done. She took the coward's way out of guilt.""";1115
109012;Helen, the beautiful wife of King Menelaus of Sparta, was a possession rather than a beloved, with an empty and hollow beauty that lacked substance. Aphrodite, the goddess of love and desire, fueled Paris' passion for Helen, leading to her abduction and the subsequent war between Greece and Troy. As the war raged on, Helen fell in love with Hector, brother of Paris, who showed her kindness and decency, but he was eventually killed by Achilles. After Troy's fall, Helen returned to Sparta, where she found solace in the love of her children, which eased the pain of her past experiences. Ultimately, Helen finds peace in the afterworld, free from the dehumanizing beauty that had defined her life.;;;;unspecified;;;;;;Hector;;;;;;Achilles;;;;;;;;narrator;third;"""He was among the best of men, was Hector husband of Andromache, father of Astynax, beloved. Andromache gave herself up to grief and rage when Achilles killed him, but Helen fell into herself. """;682
125672;Cassandra, fueled by visions of her impending death and the memories of Agamemnon's murder, enters the palace where she is met with hostility by Clytaemnestra, who ultimately murders her in a fit of rage, slamming her against the wall and causing a fatal head injury. The story flashes back to conversations between Helen and Cassandra, revealing their complex relationship and eventual separation, as well as Helen's departure from Sparta. The narrative also alludes to Agamemnon's murder at the hands of Clytaemnestra and Aegisthus, highlighting the web of violence and betrayal that ultimately leads to Cassandra's demise.;;;;slaying;;;;;;Cassandra;;;;;;Clytaemnestra;;;;;;;;narrator;third;"""The last sight Cassandra sees is her most complete and perfect vision; it's accompanied by a crack like thunder.""";520
591456;The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;;;;petrification;;;;;;Medusa;;;;;;Perseus;;;;;;;;narrator;third;"""What were the thoughts of the goddess of craft and skill and defense when she sent Perseus with a shield as bright as a mirror to her love? It cannot be known. But thereafter upon the shield of grey-eyed Athena, wise as a serpent, she bore the face of Medusa in her eternal rage. A goddess of wisdom may not be inclined to forgetfulness. She may also consider that in the end, even gods may die and the sea may turn to stone.""";1691
591456;The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;;;;being eaten;;;;;;Athena's mother;;;;;;Athena's father;;;;;;;;narrator;third;"""She, the daughter of a younger god, whose father consumed her mother in a single swallow.""";1691
591456;The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;;;;drowning;;;;;;many people;;;;;;Poseidon;;;;;;;;narrator;third;"""Ships lay tilted upon the flat roofs where the people had gathered in halcyon days. And the dead. There were so many dead. "" ";1691
591456;The sea, controlled by Poseidon, wreaks havoc on a city, flooding its streets and killing many of its inhabitants. Medusa, one of three sisters who are the guardians of the Eastern gates, attempts to fight back with her spear but is ultimately overpowered by the sea. She seeks refuge in the temple of Athena, where she is pursued and violated by Poseidon. The event leaves Medusa traumatized and enraged, causing destruction throughout the city. Later, Athena transforms Medusa's appearance, turning her hair into venomous serpents and her gaze to stone. Eventually, Medusa becomes pregnant with the sea's children but refuses to give birth, instead choosing to keep them inside herself. The story concludes with Athena sending Perseus to behead Medusa using a mirrored shield, effectively killing her.;;;;drowning;;;;;;whole families;;;;;;Poseidon;;;;;;;;narrator;third;"""Whole families drowned""";1691
660704;Artemis, the leader of the all-female motorcycle club Arktoi, has a loving relationship with Kallisto, but their happiness is disrupted when Artemis' father, Zeus, starts harassing the club's patrons and staff. Kallisto offers to deal with the situation, but she secretly meets with Zeus and becomes pregnant with his child after being raped by him. When Artemis discovers this, she confronts Kallisto, who reveals that she made a deal with Zeus to patch over the club in exchange for protection. However, Artemis is furious and feels betrayed, leading her to shoot Kallisto in the desert, killing her. Throughout the story, it is also mentioned that Leda, one of the Olympians' women, was previously raped by Zeus on a pool table, leaving emotional scars on Artemis, who witnessed the incident as a child.;;;;being shot;;;;;;Kallisto;;;;;;Artemis;;;;;;;;narrator;third;"""“I did it for you,” Kallisto is sobbing. “I did it for us.” “I know, baby.” Artemis pulls the trigger.""";1152
734141;Agamemnon's death is at the hands of Clytaemnestra, who stabs him with her sword and then slits his throat, avenging their daughter Iphigenia's death. The narrator assists Clytaemnestra by stabbing Agamemnon with his own sword after he has been wounded by Clytaemnestra.;;;;stabbing;;;;;;Agamemnon;;;;;;Clytaemnestra;;;;;;;;narrator;first;"""I look over his shoulder and see her behind, stalking forward on quiet feet, her sword raised."" [...] "" ‘Agamemnon,’ she says, her voice low. ‘This is for our daughter.’ He turns at her voice, his hand going to his hip as he registers her words, but of course his sword is not there. Her blade plunges into his stomach and out, dark blood spurting forth, spattering her dress. Her smile is so wide it is a grimace, a snarl. He falls sideways onto the floor, crying out wordlessly in pain and surprise. His head hits the ground but he is still moving. One hand goes to his waist, coming up red. The other gropes behind him, reaching for his sword. I am faster. I snatch it up and unsheathe it, the scabbard clattering on the floor.""";1989
734141;Agamemnon's death is at the hands of Clytaemnestra, who stabs him with her sword and then slits his throat, avenging their daughter Iphigenia's death. The narrator assists Clytaemnestra by stabbing Agamemnon with his own sword after he has been wounded by Clytaemnestra.;;;;stabbing;;;;;;Agamemnon;;;;;;Cassandra;;;;;;;;narrator;first;"""‘This is for my people,’ I say, and I stab down into his flesh, a hand span higher than the wound she has given him. It goes in deep. I am stronger than I thought. He coughs, red foam gathering on his lips. I leave the sword in him and step back, looking down. Impaled, helpless, he shudders and jerks, pinned by his own sword. He tries to speak, but only spits blood onto the floor. She kneels beside him, gripping his head with her hand.""";1989
1087311;Medusa, once a beautiful maiden, was cursed by Athena after being raped by Poseidon, transforming her into a monster with snakes for hair and a gaze that turns men to stone. She has been living on an island, turning hundreds of men who dared to approach her into statues. Perseus, a young man, arrives on the island, using a golden shield as a mirror to locate Medusa, intending to behead her to kill the man who is going to marry his mother. However, upon seeing her reflection and realizing her true form, Medusa is shocked and momentarily distracted, allowing Perseus to behead her with his sword, ending her life.;;;;petrification;;;;;;a priestess;;;;;;Medusa;;;;;;;;narrator;third;"""The priestess stopped her backwards retreat, her feet seemingly rooted to the ground. There was a soft clicking as the silk slippers she wore seemed to harden and turn a soft shade of grey. Then, her ankles began the strange transformation, then her calves and her thighs. Medusa saw the girl struggle, but she noticed how the priestess's eyes remained on her at all times. The priestess's whole body turned grey and Medusa watched as one of the priestess's veins pulsed slowly through its alabaster prison. She watched with her own horror as it slowed to a stop, the priestess now a sister to the idol standing next to her.""";1716
1087311;Medusa, once a beautiful maiden, was cursed by Athena after being raped by Poseidon, transforming her into a monster with snakes for hair and a gaze that turns men to stone. She has been living on an island, turning hundreds of men who dared to approach her into statues. Perseus, a young man, arrives on the island, using a golden shield as a mirror to locate Medusa, intending to behead her to kill the man who is going to marry his mother. However, upon seeing her reflection and realizing her true form, Medusa is shocked and momentarily distracted, allowing Perseus to behead her with his sword, ending her life.;;;;petrification;;;;;;hundreds of men;;;;;;Medusa;;;;;;;;narrator;third;"""Medusa had killed hundreds of men with a single glance; this newcomer was nothing but another nameless body to be added to the list of deceased. No one who met her gaze ever breathed again.""";1716
1087311;Medusa, once a beautiful maiden, was cursed by Athena after being raped by Poseidon, transforming her into a monster with snakes for hair and a gaze that turns men to stone. She has been living on an island, turning hundreds of men who dared to approach her into statues. Perseus, a young man, arrives on the island, using a golden shield as a mirror to locate Medusa, intending to behead her to kill the man who is going to marry his mother. However, upon seeing her reflection and realizing her true form, Medusa is shocked and momentarily distracted, allowing Perseus to behead her with his sword, ending her life.;;;;slashing;;;;;;Medusa;;;;;;Perseus;;;;;;;;narrator;third;"""And then she heard the sound of steel slicing through flesh and she saw the sky for a moment before everything went black.""";1716
17006691;Achilles kills Troilus, the son of Apollo, by slitting his throat with his sword in the temple of Apollo as a sacrifice to the god, believing it is necessary for the fall of Troy and fulfilling the prophecy that states if Troilus dies before he's twenty, the Achaeans will succeed.;;;;beheading;;;;;;Troilus;;;;;;Achilles;;;;;;;;narrator;third;"""The prophecy says if Troilus dies before he's twenty, the Achaeans will succeed."" [...] ""He draws his sword and puts the tip to the base of Troilus's perfect neck; Troilus bows his head almost as if he understands that this must happen, because the gods have willed it even if the two of them do not. Achilles washes Apollo's marble feet with the blood of his beautiful son and he leaves the body there before him.""";2454
17006691;Achilles kills Troilus, the son of Apollo, by slitting his throat with his sword in the temple of Apollo as a sacrifice to the god, believing it is necessary for the fall of Troy and fulfilling the prophecy that states if Troilus dies before he's twenty, the Achaeans will succeed.;;;;unspecified;;;;;;unspecified;;;;;;Achilles;;;;;;;;narrator;third;"""This will not be the only death before the war is done, and will not be the only one at Achilles's hands, but it's one he will remember.""";2454
24160720;"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;war;;;;;;Cassandra's son;;;;;;---;;;;;;;;indirect thought;third;"""And her fear was justified because one piece of a future later, she is holding her dead son in her arms""";1264
24160720;"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;unspecified;;;;;;Cassandra's daughter;;;;;;---;;;;;;;;indirect thought;third;"""She is staying in front of the Mycenae gates, her daughter is dead then, one of the casualties of travelling.""";1264
24160720;"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;unspecified;;;;;;Cassandra;;;;;;---;;;;;;;;indirect thought;third;"""And she sees her own death, waiting behind the gate, and all that will follow."" [...] ""Apollo watches her standing in front Mycenae gate. He watches her die.""";1264
24160720;"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;natural desaster;;;;;;mortals;;;;;;Apollo;;;;;;;;indirect thought;third;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";1264
24160720;"Cassandra, gifted with prophetic visions, sees all possible futures when making decisions. She knows people will call her names like \""opportunist\"" and \""whore\"", but she wants more from life than a traditional fate. Cassandra asks Apollo for the gift of prophecy, knowing it may be selfish, but convinced he will leave her someday. In her visions, she sees a happy beginning with Apollo, their son's birth, and a darkening future as Paris arrives, leading to war, death, and destruction. She witnesses the fall of Troy, her sons' deaths, and her own brutal end at the hands of King Agamemnon after being claimed as a slave. Seeing the world's demise, including Apollo's rage and eventual death, Cassandra decides to change the course of events by hurting Apollo so badly that he will never forgive her, leading him to curse her in return. In the end, Apollo watches Cassandra die, feeling sad and hollow, with the truth dying with her, but promising to avenge her death.";;;;monsters;;;;;;mortals;;;;;;Apollo;;;;;;;;indirect thought;third;"""And at this point she thought that the fate couldn’t surprise her, but then she sees the world burning, the sun crushing to the ground, Apollo raging, monsters plundering and plague spreading.""";1264
